v6	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)
-1.895000000000006e+002	2.702083e+001	3.713889e+001	-1.729861e+001	2.229861e+001	-4.722222e+000	2.777778e-001	-2.035417e+001	-1.507639e+001	-2.007639e+001	2.602778e+001
-1.894000000000006e+002	2.700833e+001	3.712222e+001	-1.728611e+001	2.228611e+001	-4.722222e+000	2.777778e-001	-2.034167e+001	-1.506389e+001	-2.006389e+001	2.601111e+001
-1.893000000000006e+002	2.699583e+001	3.710556e+001	-1.727361e+001	2.227361e+001	-4.722222e+000	2.777778e-001	-2.032917e+001	-1.505139e+001	-2.005139e+001	2.599444e+001
-1.892000000000006e+002	2.698333e+001	3.708889e+001	-1.726111e+001	2.226111e+001	-4.722222e+000	2.777778e-001	-2.031667e+001	-1.503889e+001	-2.003889e+001	2.597778e+001
-1.891000000000006e+002	2.697083e+001	3.707222e+001	-1.724861e+001	2.224861e+001	-4.722222e+000	2.777778e-001	-2.030417e+001	-1.502639e+001	-2.002639e+001	2.596111e+001
-1.890000000000006e+002	2.695833e+001	3.705556e+001	-1.723611e+001	2.223611e+001	-4.722222e+000	2.777778e-001	-2.029167e+001	-1.501389e+001	-2.001389e+001	2.594444e+001
-1.889000000000006e+002	2.694583e+001	3.703889e+001	-1.722361e+001	2.222361e+001	-4.722222e+000	2.777778e-001	-2.027917e+001	-1.500139e+001	-2.000139e+001	2.592778e+001
-1.888000000000006e+002	2.693333e+001	3.702222e+001	-1.721111e+001	2.221111e+001	-4.722222e+000	2.777778e-001	-2.026667e+001	-1.498889e+001	-1.998889e+001	2.591111e+001
-1.887000000000006e+002	2.692083e+001	3.700555e+001	-1.719861e+001	2.219861e+001	-4.722222e+000	2.777778e-001	-2.025417e+001	-1.497639e+001	-1.997639e+001	2.589444e+001
-1.886000000000007e+002	2.690833e+001	3.698889e+001	-1.718611e+001	2.218611e+001	-4.722222e+000	2.777778e-001	-2.024167e+001	-1.496389e+001	-1.996389e+001	2.587778e+001
-1.885000000000007e+002	2.689583e+001	3.697222e+001	-1.717361e+001	2.217361e+001	-4.722222e+000	2.777778e-001	-2.022917e+001	-1.495139e+001	-1.995139e+001	2.586111e+001
-1.884000000000007e+002	2.688333e+001	3.695555e+001	-1.716111e+001	2.216111e+001	-4.722222e+000	2.777778e-001	-2.021667e+001	-1.493889e+001	-1.993889e+001	2.584444e+001
-1.883000000000007e+002	2.687083e+001	3.693889e+001	-1.714861e+001	2.214861e+001	-4.722222e+000	2.777778e-001	-2.020417e+001	-1.492639e+001	-1.992639e+001	2.582778e+001
-1.882000000000007e+002	2.685833e+001	3.692222e+001	-1.713611e+001	2.213611e+001	-4.722222e+000	2.777778e-001	-2.019167e+001	-1.491389e+001	-1.991389e+001	2.581111e+001
-1.881000000000007e+002	2.684583e+001	3.690556e+001	-1.712361e+001	2.212361e+001	-4.722222e+000	2.777778e-001	-2.017917e+001	-1.490139e+001	-1.990139e+001	2.579445e+001
-1.880000000000007e+002	2.683333e+001	3.688889e+001	-1.711111e+001	2.211111e+001	-4.722222e+000	2.777778e-001	-2.016667e+001	-1.488889e+001	-1.988889e+001	2.577778e+001
-1.879000000000007e+002	2.682083e+001	3.687222e+001	-1.709861e+001	2.209861e+001	-4.722222e+000	2.777778e-001	-2.015417e+001	-1.487639e+001	-1.987639e+001	2.576111e+001
-1.878000000000007e+002	2.680833e+001	3.685556e+001	-1.708611e+001	2.208611e+001	-4.722222e+000	2.777778e-001	-2.014167e+001	-1.486389e+001	-1.986389e+001	2.574444e+001
-1.877000000000007e+002	2.679583e+001	3.683889e+001	-1.707361e+001	2.207361e+001	-4.722222e+000	2.777778e-001	-2.012917e+001	-1.485139e+001	-1.985139e+001	2.572778e+001
-1.876000000000007e+002	2.678333e+001	3.682222e+001	-1.706111e+001	2.206111e+001	-4.722222e+000	2.777778e-001	-2.011667e+001	-1.483889e+001	-1.983889e+001	2.571111e+001
-1.875000000000007e+002	2.677083e+001	3.680556e+001	-1.704861e+001	2.204861e+001	-4.722222e+000	2.777778e-001	-2.010417e+001	-1.482639e+001	-1.982639e+001	2.569444e+001
-1.874000000000007e+002	2.675833e+001	3.678889e+001	-1.703611e+001	2.203611e+001	-4.722222e+000	2.777778e-001	-2.009167e+001	-1.481389e+001	-1.981389e+001	2.567778e+001
-1.873000000000007e+002	2.674583e+001	3.677222e+001	-1.702361e+001	2.202361e+001	-4.722222e+000	2.777778e-001	-2.007917e+001	-1.480139e+001	-1.980139e+001	2.566111e+001
-1.872000000000007e+002	2.673333e+001	3.675555e+001	-1.701111e+001	2.201111e+001	-4.722222e+000	2.777778e-001	-2.006667e+001	-1.478889e+001	-1.978889e+001	2.564444e+001
-1.871000000000007e+002	2.672083e+001	3.673889e+001	-1.699861e+001	2.199861e+001	-4.722222e+000	2.777778e-001	-2.005417e+001	-1.477639e+001	-1.977639e+001	2.562778e+001
-1.870000000000007e+002	2.670833e+001	3.672222e+001	-1.698611e+001	2.198611e+001	-4.722222e+000	2.777778e-001	-2.004167e+001	-1.476389e+001	-1.976389e+001	2.561111e+001
-1.869000000000007e+002	2.669583e+001	3.670555e+001	-1.697361e+001	2.197361e+001	-4.722222e+000	2.777778e-001	-2.002917e+001	-1.475139e+001	-1.975139e+001	2.559444e+001
-1.868000000000008e+002	2.668333e+001	3.668889e+001	-1.696111e+001	2.196111e+001	-4.722222e+000	2.777778e-001	-2.001667e+001	-1.473889e+001	-1.973889e+001	2.557778e+001
-1.867000000000008e+002	2.667083e+001	3.667222e+001	-1.694861e+001	2.194861e+001	-4.722222e+000	2.777778e-001	-2.000417e+001	-1.472639e+001	-1.972639e+001	2.556111e+001
-1.866000000000008e+002	2.665833e+001	3.665556e+001	-1.693611e+001	2.193611e+001	-4.722222e+000	2.777778e-001	-1.999167e+001	-1.471389e+001	-1.971389e+001	2.554445e+001
-1.865000000000008e+002	2.664583e+001	3.663889e+001	-1.692361e+001	2.192361e+001	-4.722222e+000	2.777778e-001	-1.997917e+001	-1.470139e+001	-1.970139e+001	2.552778e+001
-1.864000000000008e+002	2.663333e+001	3.662222e+001	-1.691111e+001	2.191111e+001	-4.722222e+000	2.777778e-001	-1.996667e+001	-1.468889e+001	-1.968889e+001	2.551111e+001
-1.863000000000008e+002	2.662083e+001	3.660556e+001	-1.689861e+001	2.189861e+001	-4.722222e+000	2.777778e-001	-1.995417e+001	-1.467639e+001	-1.967639e+001	2.549444e+001
-1.862000000000008e+002	2.660833e+001	3.658889e+001	-1.688611e+001	2.188611e+001	-4.722222e+000	2.777778e-001	-1.994167e+001	-1.466389e+001	-1.966389e+001	2.547778e+001
-1.861000000000008e+002	2.659583e+001	3.657222e+001	-1.687361e+001	2.187361e+001	-4.722222e+000	2.777778e-001	-1.992917e+001	-1.465139e+001	-1.965139e+001	2.546111e+001
-1.860000000000008e+002	2.658333e+001	3.655556e+001	-1.686111e+001	2.186111e+001	-4.722222e+000	2.777778e-001	-1.991667e+001	-1.463889e+001	-1.963889e+001	2.544444e+001
